NOMREG;NOMDEP;FERME;ANNREOUV;NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE
FRANCHE-COMTE;JURA;NON;;Musée des Beaux-Arts;85, rue des Arènes;39100;DOLE;Site de la ville ou site des musées de la région;;10-12:30,13:30-18
FRANCHE-COMTE;JURA;NON;;Musée des Beaux-Arts;Place Philibert de Châlon;39000;LONS-LE-SAUNIER;Site des musées de la région;01/01,01/04,25/12;10-12,14-18
FRANCHE-COMTE;JURA;OUI;;Musée d'Archéologie;7, Rue des Cordeliers;39000;LONS-LE-SAUNIER;Site de la ville;11/11,01/12-01/04;sept-18
FRANCHE-COMTE;JURA;OUI;;Musée du Jouet;5, Rue du Murgin;39260;MOIRANS-EN-MONTAGNE;www.musee-du-jouet.fr et Site des musées de la région;01/01,01/04,25/12;13-18
FRANCHE-COMTE;JURA;NON;;Viséum-Musée de la Lunette;Place Jean Jaurès;39400;MOREZ;www.musee-lunette.fr ou www.musees-franchecomte.com;24/12,25/12;13-18
FRANCHE-COMTE;JURA;OUI;;Musée Municipal de Poligny;Hôtel de Ville 49, Grande Rue;39800;POLIGNY;;01/01,01/04,25/12;9-12,14-17
FRANCHE-COMTE;JURA;NON;;Musée de l'Abbaye/Donations Guy Bardone - René Genis;3, Place de l'Abbaye;39200;SAINT-CLAUDE;Site des musées de la région;01/11-01/04;13-18
FRANCHE-COMTE;JURA;OUI;;Musée Max Claudet;Place des Salines;39110;SALINS-LES-BAINS;http://www.juramusees.fr/1/musee/musees/beaux_arts/musee_max_claudet_salins_les_bains.html;;sept-18
FRANCHE-COMTE;JURA;NON;;Musée des Salines;Place des Salines;39110;SALINS-LES-BAINS;www.salinesdessalins.com ou www.musees-des-techniques.org;24/12,25/12,11/11;10-12:30,13:30-18
FRANCHE-COMTE;JURA;OUI;;Musée de l'Artisanat Jurassien;Abbaye de Baume-Les-Messieurs;39210;VOITEUR;;24/12,25/12,11/11;
FRANCHE-COMTE;TERRITOIRE DE BELFORT;NON;;Musée Frédéric Japy;16, Rue Frédéric Japy;90500;BEAUCOURT;www.musees-des-techniques.org;24/12,25/12,11/11;13-18
FRANCHE-COMTE;TERRITOIRE DE BELFORT;NON;;Musée d'Art et d'Histoire;Château de Belfort B.P. 733;90020;BELFORT cedex;www.musees-franchecomte.com;11/11,01/12-01/04;13-18
